http://pt.wikipedia.org/wiki/Atletismo_nos_Jogos_Ol%C3%ADmpicos_de_Ver%C3%A3o_de_2012_-_Salto_triplo_masculino		Qualifica????o	4	#1	17.17 (-0.4)___16.82 (-0.5)___17.00 (+0.6)___X___16.67 (-1.0)___16.56 (-0.5)___16.86 (-1.2)___16.59 (-1.3)___16.14 (0.0)___X___X	X___17.17 (-0.4)	-7.5625	2
http://en.wikipedia.org/wiki/Tommy_Flanagan_discography		Discography	3	Label	Absord___Absord___United Artists___Prestige___Muse___Uptown___Invitation___CBS/Sony___BMG___Enja___Prestige___Candid___Jazzline___Detroit Jazz Musicians Co-Op___Columbia___Roulette___Roulette___Prestige___Contemporary___Verve___Savoy___Blue Note___Blue Note___Blue Note___Prestige___New Jazz___Columbia___Moodsville___RCA___Columbia___Regent___Pablo___Pablo___Slider___Blue Note___Savoy___Chiaroscuro___Prestige___Prestige___BMG Novus___Atlantic___Prestige___Pablo___Prestige___Bluemoon___New Jazz___Xanadu___Blue Note___Xanadu___Roulette___Unisson___Bethlehem___Prestige___Concord___Argo___Mercury___Scepter___Verve___Verve___Verve___Eagle Vision___Pablo___Reprise___Pablo___Pablo___Pablo___Pablo___Pablo___Pablo___Pablo___Pablo___Regent___United Artists___Savoy___Epic___Savoy___Pablo___Enja___Enja___New Jazz___Argo___Prestige___Vee-Jay___Horizon___Swingville___Swingville___Progressive___Concord___Columbia___Epic___Savoy___Savoy___Savoy___Savoy___Storyville___Moodsville___Swingville___Moodsville___Moodsville___Moodsville___Impulse!___Impulse!___Verve___Verve___Columbia___Impulse!___Kitty___Riverside___Landmark___Vee-Jay___Verve___Denon___Classical Action___Impulse!___Landmark___Atlantic___Atlantic___United Artists___Atlantic___Riverside___Impulse!___Impulse!___Pablo___Prestige___Argo___Columbia___Candid___Pablo___Swingville___Swingville___Columbia___Columbia___Columbia___Columbia___Columbia___Milestone___Denon___Everest___Pablo___Riverside___Timeless___Blue Note___Blue Note___Period___Blue Note___United Artists___Jazzland___Muse___Savoy___Philips___Argo___United Artists___Time___Atlantic___Prestige___Prestige___Bethlehem___Concord___Candid___Bethlehem___Xanadu___Riverside___Xanadu___Riverside___Argo___Antilles___Columbia___Scepter___Swingville___Swingville___Swingville___Warwick___Soul Note___Galaxy___ABC___New Jazz___Moodsville___Epic___Prestige___Prestige___Prestige___Riverside___Criss Cross___Philadelphia International___Exclusive Arts___Artists House___Milestone___Signal___Prestige___Impulse!___Milestone___Milestone___Milestone___DRG___Prestige___Phontastic___After 9___Discovery___CBS/Sony___Blue Note___Criss Cross___Jazzland___Swingville___Candid___Chesky___Soul Note___Prestige___Baystate___Time___Blue Note___Epic___Columbia___Columbia___Eastworld___Eastworld___Playboy___Audiophile___Enja___AudioQuest___Columbia___Prestige___Prestige___Progressive___Verve___HighNote___World Pacific___New Jazz___Prestige___Candid___Enja___Chesky___Warwick___Denon___Justin Time___Justin Time___Enja	Detroit Jazz Musicians Co-Op___BMG	-6.333333333	0
http://en.wikipedia.org/wiki/Meteor_Music_Awards		Recipients by year	4	Album	Is This It___By the Way___Elephant___Franz Ferdinand___Employment___Whatever People Say I Am, That's What I'm Not___Neon Bible___Only by the Night___Sunny Side Up"	"Whatever People Say I Am, That's What I'm Not___Elephant"	-7.222222222	0
http://en.wikipedia.org/wiki/The_Coolangatta_Gold		The Event	4	Racetime	-___-___3hrs:15.39___3hrs:18:45___3hrs.22.33___3hrs:17:13	-___3hrs:15.39	-7.6	1
http://it.wikipedia.org/wiki/Squadriglia_19		Equipaggio del Volo 19 e del PBM-5 BuNo 59225	2	Equipaggio	Howell O. Thompson, SSgt., USMCR George.R. Paonessa, Srg., USMC___Herman A. Thelander, S1c, USNR Burt E. Baluk, JR., S1c, USNR___Robert P. Gruebel, Pvt., USMCR Robert F. Gallivan, Sgt., USMC___William E. Lightfoot, Pfc., USMCR*___Harrie G. Cone, Ltjg, USN Roger M. Allen, Ensign, USN Lloyd A. Eliason, Ensign, USN Charles D. Arceneaux, Ensign, USN Robert C. Cameron, RM3, USN Wiley D. Cargill, Sr., Seaman 1st, USN James F. Jordan, ARM3, USN John T. Menendez, AOM3, USN Philip B. Neeman, Seaman 1st, USN James F. Osterheld, AOM3, USN Donald E. Peterson, AMM1, USN Alfred J. Zywicki, Seaman 1st, USN"	"Harrie G. Cone, Ltjg, USN Roger M. Allen, Ensign, USN Lloyd A. Eliason, Ensign, USN Charles D. Arceneaux, Ensign, USN Robert C. Cameron, RM3, USN Wiley D. Cargill, Sr., Seaman 1st, USN James F. Jordan, ARM3, USN John T. Menendez, AOM3, USN Philip B. Neeman, Seaman 1st, USN James F. Osterheld, AOM3, USN Donald E. Peterson, AMM1, USN Alfred J. Zywicki, Seaman 1st, USN___William E. Lightfoot, Pfc., USMCR*"	-17.25144092	0
http://nl.wikipedia.org/wiki/SV_Huizen		Trainers	2	Seizoen(en)	2002 - '03.___1948 t/m 1951, 1952-'53, 1957-'58, 1959 t/m 1961, 1963-'64.___1966 t/m 1968.___1970-'71.___1981-'82.___1989-'90.___1994-'95.___2000-'01___2005-'06.___2009-'10"	"1948 t/m 1951, 1952-'53, 1957-'58, 1959 t/m 1961, 1963-'64.___2000-'01"	-5.927013423	2
http://es.wikipedia.org/wiki/Boeing_X-45		Especificaciones	1	X-45A	10,3 m___1,13 m___5.530 kg___Mach 0,75___10.700 m___920 km___Honeywell F124-GA-100 turbofan; 28 kN"	"Honeywell F124-GA-100 turbofan; 28 kN___10,3 m"	-5.654136708	2
http://de.wikipedia.org/wiki/Liste_der_IATA-Codes/M		MX	2	Flughafen	_________Laurinburg-Maxton Airport___Montgomery (Maxwell AFB)_______________Mexicali (General Rodolfo S. Taboada)______Flughafen Morlaix-Plaujean___Monticello Municipal Airport___Flughafen Mailand-Malpensa__________________Flughafen Mora-Siljan___McCarthy Airport___	Mexicali (General Rodolfo S. Taboada)___McCarthy Airport	-6.174108152	0
http://en.wikipedia.org/wiki/List_of_The_Podge_and_Rodge_Show_episodes		Season guest lists	4	Rhyme Bandits	___Kathy Durkin as Pink______Sandy Kelly as Katy Perry______Charlie McGettigan as Jim Morrison______Joseph McCaul as Prince___Philomena Begley as Amy Winehouse______TR Dallas as Robbie Williams______Robotnik______Brutus Gold's Love Train______The Corrigans (performing ""There's No One As Irish As Barack O'Bama"")______The Stunning"	"The Corrigans (performing ""There's No One As Irish As Barack O'Bama"")___Robotnik"	-13.59821429	0
http://simple.wikipedia.org/wiki/1780%E2%80%931789_Atlantic_hurricane_seasons		1770?€?1779	2	Location	Greater Antilles including Puerto Rico and Jamaica; Mobile, Alabama; New Orleans, Louisiana___North Carolina___Saint Kitts and Nevis___Virginia___Virginia___Virginia___Annapolis, Maryland___Caribbean Sea___Outer Banks, Virginia, Newfoundland___Caicos Islands___Virginia___Guadeloupe___Florida___Chesapeake Bay___Central Atlantic, Pennsylvania___Virginia___Cuba___Cape Cod, Massachusetts___Jamaica___Havana, Cuba, Louisiana___Martinique___Atlantic coast"	"Greater Antilles including Puerto Rico and Jamaica; Mobile, Alabama; New Orleans, Louisiana___Virginia"	-9.023863636	0
http://it.wikipedia.org/wiki/Utente:Paulatz/Sandbox2		Caratteristiche fisiche (confrontate all'acqua leggera)	1	D2O (Acqua pesante)	101.4___1.1056___11.6___1.25___7.193___1,515___10,864___7.41 (a volte indicato con ""pD"")"	"7.41 (a volte indicato con ""pD"")___101.4"	-12.0625	2
http://en.wikipedia.org/wiki/List_of_bus_routes_in_Singapore		Routes	7	Remarks	Weekdays AM and PM Peak. Flexible express route between Boon Lay Avenue and Orchard Road.___Terminated at Bedok Bus Interchange until 12 November 2006.___Weekdays AM and PM Peak. Bus service is under Bus Service Enhancement Programme (BSEP).___Route amended and operating hours extended from 26 December 2005. Flexible express route between Bedok North Road and Raffles Boulevard. Amended to ply Bayfront Avenue on 26 April 2010.___Weekdays AM and PM Peak. Flexible express route between Loyang Avenue and Moulmein Road.___Also known as the Lentor Estate Premium route. Formerly known as 592.___A second trip for Premium Service 538 will commence from 19 March 2012.___A second trip for Premium Service 544 will commence from 19 March 2012."	Route amended and operating hours extended from 26 December 2005. Flexible express route between Bedok North Road and Raffles Boulevard. Amended to ply Bayfront Avenue on 26 April 2010.___Terminated at Bedok Bus Interchange until 12 November 2006.	-6.774703557	0
http://en.m.wikipedia.org/wiki/Mount_Washington_Cog_Railway		LocomotivesEdit	6	Notes	Was the first #7 Falcon; renumbered to 1 following rebuilding after the 1895 fire. Renamed Mt. Washington after 1931. Currently stored out of service at the shops.___Was second #4 Atlas; renumbered to 2 following rebuilding after the 1895 fire. Named Ammonoosuc after 1931.___Originally #2 of the Green Mountain Cog Railway. Was the third #5, not named; became the third #3 in 1934. Renamed Agiocochook in 1995/96. Currently stored serviceable outside the shops.___Originally #1 of the Green Mountain Cog Railway. Originally named ""Summit"" Renamed Chocorua in 1996/97. Currently has the cab and tender of #8. There is a possibility of this engine becoming a static display in the nearby town in Twin Mountain. Currently stored serviceable outside the shops.___Originally built as first #6 Tip-Top with vertical boiler. Rebuilt into second #6 in 1878 with horizontal boiler. Was named Great Gulf. Currently stored serviceable inside the shops.___Built in 1983 by Mike Kenly at the Cog Shop. At the time was the world's newest steam locomotive. In 2008 a major boiler overhaul was underway when the project was scrapped in favor of building 2 new diesel locomotives. The cab and tender of #8 Tip-Top/Moosilauke now rides on #4 Summit/Chocourua. Currently stored out of service outside the shops.___First horizontal boilered engine to have the cab on the same plane as the boiler. For a short time, this locomotive burned biodiesel, but was reconverted to coal.___Uses a larger, welded boiler built by Munroe Boiler. Has the cab tilted on the same plane as the boiler. Converted to burn oil for a short time and converted back to coal. Was named the Col. Teague. Currently stored serviceable inside the shops.___First diesel-hydraulic locomotive. Powered by biodiesel (B20).___Second diesel-hydraulic locomotive. Powered by biodiesel (B20)___Third diesel-hydraulic locomotive. Powered by biodiesel (B20)___Fourth diesel-hydraulic locomotive, Powered by biodiesel (B20)"	Was second #4 Atlas; renumbered to 2 following rebuilding after the 1895 fire. Named Ammonoosuc after 1931.___Built in 1983 by Mike Kenly at the Cog Shop. At the time was the world's newest steam locomotive. In 2008 a major boiler overhaul was underway when the project was scrapped in favor of building 2 new diesel locomotives. The cab and tender of #8 Tip-Top/Moosilauke now rides on #4 Summit/Chocourua. Currently stored out of service outside the shops.	-14.453125	0
http://nl.wikipedia.org/wiki/The_Buffoons		Discografie	0	Single(s) met eventuele hitnoteringen in de Nederlandse Top 40	It's the end___Sister Theresa's East River orphanage/Sunday will never be the same___Lovely Loretta___Goodbye my love___Catarina baby___My girl Donna___Arizona___Let it be me	Sister Theresa's East River orphanage/Sunday will never be the same___Arizona	-7	0
http://en.wikipedia.org/wiki/Rx_Bandits		Discography	2	Label	Go Kart Records___Skratch Ray Records___Liberation Records___Vegas Records___Drive-Thru___We The People Records___Fearless Records___Together___Drive-Thru___Go-Kart Records___Fat Wreck Chords___Drive-Thru/Rushmore___Indianola Records___Drive-Thru___Sire/Wea	Together___We The People Records	-7.15	0
