http://tr.wikipedia.org/wiki/Volkswagen_Touareg			2	Motor tipi	3,189 cc (194.6 cu in) V6___4,163 cc (254.0 cu in) V8___5,998 cc (366.0 cu in) W12___Motor tipi___2,460 cc (150.1 cu in) I5 Turbo___2,967 cc (181.1 cu in) V6 Turbo___4,921 cc (300.3 cu in) V10 Turbo"	"Motor tipi___4,163 cc (254.0 cu in) V8"	-15	2
http://es.wikipedia.org/wiki/Lil%27_Kim		Discograf??a	1	Titulo | U.S. R&B	""I Can Love You"" (Mary J. Blige con Lil' Kim)___""It's All about the Benjamins"" (Puff Daddy con Lil' Kim, The LOX & The Notorious B.I.G.)___""Notorious B.I.G."" (Notorious B.I.G. con Lil' Kim & Puff Daddy)___""Wait a Minute"" (Ray J con Lil' Kim)___""Can't Hold Us Down"" (Christina Aguilera con Lil' Kim)___""Sugar (Gimme Some)"" (Trick Daddy con Lil' Kim, Ludacris & Cee-Lo)___""Let It Go"" (Keyshia Cole con Lil' Kim & Missy Elliott)___""Kimmy more"" (Britney Spears con Lil' Kim)___""10 Date Commandments"" (Am8er con Lil' Kim)"	"It's All about the Benjamins (Puff Daddy con Lil' Kim, The LOX & The Notorious B.I.G.)___""Sugar (Gimme Some)"" (Trick Daddy con Lil' Kim, Ludacris & Cee-Lo)"	-15.30434783	0
http://de.wikipedia.org/wiki/Liste_der_Baudenkm%C3%A4ler_in_Osterhofen		Baudenkm??ler nach Ortsteilen	2	Beschreibung	neobarocker ausgerundeter Saalbau mit Ostturm, von Johann Bapt. Schott, Anfang 20. Jahrhundert; mit Ausstattung.___zweigeschossiger Flachsatteldachbau mit Kniestock und drei Giebelschroten, um 1830/40.___Satteldachbau mit Blockbau-Obergeschoss und Kniestock, 18./19. Jahrhundert"	"neobarocker ausgerundeter Saalbau mit Ostturm, von Johann Bapt. Schott, Anfang 20. Jahrhundert; mit Ausstattung.___Satteldachbau mit Blockbau-Obergeschoss und Kniestock, 18./19. Jahrhundert"	-17.97826087	0
http://en.wikipedia.org/wiki/Eels_discography		Albums	1	Album details | AUS	Electro-Shock Blues Show Label: EWorks___Sixteen Tons (Ten Songs) Released: May 10, 2005 Label: EWorks___Eels with Strings: Live at Town Hall Released: February 21, 2006 Label: Vagrant Records___Live and in Person! London 2006 Released: February 14, 2008 Label: EWorks___Tremendous Dynamite - Live in 2010 + 2011 Released: February 12, 2013 Label: EWorks"	"Electro-Shock Blues Show Label: EWorks___Sixteen Tons (Ten Songs) Released: May 10, 2005 Label: EWorks"	-14.32608696	0
http://ro.wikipedia.org/wiki/List%C4%83_a_distribu%C8%9Biilor_Linux		Distribu??ii speciale	1	Descriere	A distribution started in Norway as an affordable thin client distribution for schools (cf. EduLinux, Guadalinex).___A distribution for educational purposes (cf. Guadalinex, Skolelinux).___A distribution for educational purpose. K12LTSP comes with LTSP support. Fedora core based.___A distribution for educational purposes. Debian based.___A Slackware-based distro from Robert Kennedy College, Delemont, Switzerland. Discontinued in 2003, but resurrected in 2006."	"A Slackware-based distro from Robert Kennedy College, Delemont, Switzerland. Discontinued in 2003, but resurrected in 2006.___A distribution for educational purpose. K12LTSP comes with LTSP support. Fedora core based."	-17.30434783	0
http://en.wikipedia.org/wiki/Box_(Ministry_album)		Track listing	1	Title	""Thieves"" (12"" remix)___""Smothered Hope"" (non-album track) (Skinny Puppy cover)___""Jesus Built My Hotrod"" (Redline/Whiteline version)"	"Thieves (12"" remix)___""Jesus Built My Hotrod"" (Redline/Whiteline version)"	-13.32608696	2
http://de.wikipedia.org/wiki/Liste_der_Plattenverk%C3%A4ufe_von_Miley_Cyrus		Miley Cyrus	1	Album	Breakout___Hannah Montana 2/Meet Miley Cyrus___Hannah Montana 2/Meet Miley Cyrus___Hannah Montana & Miley Cyrus: Best of Both Worlds Concert___Can't Be Tamed___The Time of Our Lives	Hannah Montana & Miley Cyrus: Best of Both Worlds Concert___Hannah Montana 2/Meet Miley Cyrus	-13.32608696	0
http://pt.wikipedia.org/wiki/Alemanha_nos_Jogos_Ol%C3%ADmpicos_de_Inverno_de_2010		Desempenho	0	Atleta | Pontos	Pista longa individual___Michael Neumayer Martin Schmitt Michael Uhrmann Andreas Wank	Pista longa individual___Michael Neumayer Martin Schmitt Michael Uhrmann Andreas Wank	-17	2
http://en.wikipedia.org/wiki/Alexandre_Picard-Hooper		Awards and honours	0	Award	CIS All-Canadian First Team___Senator Joseph A. Sullivan Trophy - CIS Player of the Year	CIS All-Canadian First Team___Senator Joseph A. Sullivan Trophy - CIS Player of the Year	-15.32608696	0
http://en.wikipedia.org/wiki/Primetime_Emmy_Award_for_Outstanding_Original_Music_and_Lyrics		Winners and nominees	2	Song	___""Why Do I Lie?""___""Sorry I Asked""___""The Song Remembers When""___""Ordinary Miracles""___""Let's Settle Down""___""We Put the Spring in Springfield""___""You're Checkin' In (A Musical Tribute to the Betty Ford Center)""___""A Ticket to Dream"""	"You're Checkin' In (A Musical Tribute to the Betty Ford Center)___""We Put the Spring in Springfield"""	-19	0
http://de.wikipedia.org/wiki/Rum%C3%A4nische_Fu%C3%9Fballnationalmannschaft		L??nderspiele	7	Wichtige Begegnungen	WM-Qualifikation 1994___WM-Qualifikation 1954, 1990; EM-Qualifikation 1992, 2008, EM-Vorrunde 1996___WM-Qualifikation 1974___EM-Vorrunde 1984, 2000___WM-Qualifikation 1982, 1986, WM-Vorrunde 1970, 1998; EM-Vorrunde 2000___WM-Qualifikation 2010; EM-Qualifikation 1996, 2012, EM-Vorrunde 1996, 2008___WM-Qualifikation 1958, 1970, 1990___EM-Qualifikation 1996___WM-Qualifikation 2002; EM-Qualifikation 1968, 1984, EM-Vorrunde 2008, EM-Viertelfinale 2000___WM-Qualifikation 1934, 1958, 1978; EM-Qualifikation 1980___WM-Qualifikation 1998, 2002, 2010___Achtelfinale der Olympischen Spiele 1924; WM-Qualifikation 2006, 2014; EM-Qualifikation 2008, EM-Vorrunde 2008___WM-Qualifikation 1982; EM-Qualifikation 2004___WM-Qualifikation 2010; EM-Qualifikation 1988___EM-Qualifikation 1996___WM-Qualifikation 1966, 1970; EM-Qualifikation 2000, EM-Vorrunde 1984, 2000___WM-Qualifikation 1934, 1970, 1982, WM-Vorrunde 1994; EM-Qualifikation 1968, 1992___EM-Qualifikation 1996, 2000___WM-Qualifikation 1978; EM-Qualifikation 1964, 1976, 1980, 1988, EM-Vorrunde 1984, 1996___WM-Qualifikation 1954, 1966, 1994, WM-Vorrunde 1970, WM-Achtelfinale 1934; EM-Qualifikation 1972, 1984, EM-Viertelfinale 1960___WM-Qualifikation 1966, 1986, 2014; EM-Qualifikation 1960___WM-Qualifikation 1982, 2002, 2014; EM-Qualifikation 2000, EM-Viertelfinale 1972___WM-Qualifikation 1994; EM-Qualifikation 1968, 1980, 1984"	"WM-Qualifikation 1954, 1966, 1994, WM-Vorrunde 1970, WM-Achtelfinale 1934; EM-Qualifikation 1972, 1984, EM-Viertelfinale 1960___Achtelfinale der Olympischen Spiele 1924; WM-Qualifikation 2006, 2014; EM-Qualifikation 2008, EM-Vorrunde 2008"	-14.32608696	0
http://de.wikipedia.org/wiki/Englischer_Fu%C3%9Fball-Meister		Football League (1888/89 ?€? 1891/92) Football League First Division (1892/93 ?€? 1991/92)	3	Torsch??tzenk??nig(e)	Nicholas J. Ross (Preston North End) (22)___John Southworth (Blackburn Rovers) (26)___Johnny Campbell (AFC Sunderland) (32)___Johnny Campbell (AFC Sunderland) (31)___John Southworth (FC Everton) (27)___Johnny Campbell (AFC Sunderland) (22)___Johnny Campbell (Aston Villa) und Steve Bloomer (Derby County) (20)___Steve Bloomer (Derby County) (22)___Fred Wheldon (Aston Villa) (21)___Steve Bloomer (Derby County) (23)___Billy Garraty (Aston Villa) (27)___Steve Bloomer (Derby County) (23)___Jimmy Settle (FC Everton) (18)___Sam Raybould (FC Liverpool) (31)___Steve Bloomer (Derby County) (20)___Arthur Brown (Sheffield United) (22)___Albert Shepherd (Bolton Wanderers) (26)___Alf Young (FC Everton) (30)___Enoch West (Nottingham Forest) (27)___Bert Freeman (FC Everton) (38)___Jack Parkinson (FC Liverpool) (30)___Albert Shepherd (Newcastle United) (25)___H. Hampton (Aston Villa), G. Holley (AFC Sunderland) und D. McLean (The Wednesday) (25)___David McLean (The Wednesday) (30)___George Elliott (FC Middlesbrough) (32)___Bobby Parker (FC Everton) (36)___Fred Morris (West Bromwich Albion) (37)___Joe Smith (Bolton Wanderers) (38)___Andy Wilson (FC Middlesbrough) (31)___Charlie Buchan (AFC Sunderland) (30)___Wilf Chadwick (FC Everton) (28)___Frank Roberts (Manchester City) (31)___Ted Harper (Blackburn Rovers) (43)___Jimmy Trotter (The Wednesday) (37)___Dixie Dean (FC Everton) (60)___Dave Halliday (AFC Sunderland) (43)___Vic Watson (West Ham United) (41)___Tom 'Pongo' Waring (Aston Villa) (49)___Dixie Dean (FC Everton) (44)___Jack Bowers (Derby County) (35)___Jack Bowers (Derby County) (34)___Ted Drake (FC Arsenal) (42)___W. G. Richardson (West Bromwich Albion) (39)___Freddie Steel (Stoke City) (33)___Tommy Lawton (FC Everton) (28)___Tommy Lawton (FC Everton) (35)___Dennis Westcott (Wolverhampton Wanderers) (38)___Ronnie Rooke (FC Arsenal) (33)___Willie Moir (Bolton Wanderers) (25)___Dickie Davis (AFC Sunderland) (25)___Stan Mortensen (FC Blackpool) (30)___George Robledo (Newcastle United) (33)___Charlie Wayman (Preston North End) (24)___Jimmy Glazzard (Huddersfield Town) (29)___Ronnie Allen (West Bromwich Albion) (27)___Nat Lofthouse (Bolton Wanderers) (33)___John Charles (Leeds United) (38)___Bobby Smith (Tottenham Hotspur) (36)___Jimmy Greaves (FC Chelsea) (33)___Dennis Viollet (Manchester United) (32)___Jimmy Greaves (FC Chelsea) (41)___Ray Crawford (Ipswich Town) und Derek Kevan (West Bromwich Albion) (33)___Jimmy Greaves (Tottenham Hotspur) (37)___Jimmy Greaves (Tottenham Hotspur) (35)___Andy McEvoy (Blackburn Rovers) und Jimmy Greaves (Tottenham Hotspur) (29)___Willie Irvine (FC Burnley) (29)___Ron Davies (FC Southampton) (37)___George Best (Manchester United) und Ron Davies (FC Southampton) (28)___Jimmy Greaves (Tottenham Hotspur) (27)___Jeff Astle (West Bromwich Albion) (25)___Tony Brown (West Bromwich Albion) (28)___Francis Lee (Manchester City) (33)___Pop Robson (West Ham United) (28)___Mick Channon (FC Southampton) (21)___Malcolm Macdonald (Newcastle United) (21)___Ted MacDougall (Norwich City) (23)___Malcolm Macdonald (FC Arsenal) und Andy Gray (Aston Villa) (25)___Bob Latchford (FC Everton) (30)___Frank Worthington (Bolton Wanderers) (24)___Phil Boyer (FC Southampton) (23)___Peter Withe (Aston Villa) und Steve Archibald (Tottenham Hotspur) (20)___Kevin Keegan (FC Southampton) (26)___Luther Blissett (FC Watford) (27)___Ian Rush (FC Liverpool) (32)___Kerry Dixon (FC Chelsea) und Gary Lineker (Leicester City) (24)___Gary Lineker (FC Everton) (30)___Clive Allen (Tottenham Hotspur) (33)___John Aldridge (FC Liverpool) (26)___Alan Smith (FC Arsenal) (23)___Gary Lineker (Tottenham Hotspur) (24)___Alan Smith (FC Arsenal) (22)___Ian Wright (Crystal Palace/FC Arsenal) (29)"	"H. Hampton (Aston Villa), G. Holley (AFC Sunderland) und D. McLean (The Wednesday) (25)___Ray Crawford (Ipswich Town) und Derek Kevan (West Bromwich Albion) (33)"	-15.32608696	0
http://nl.wikipedia.org/wiki/Nederland_op_de_Olympische_Zomerspelen_1948		Resultaten per sport	3	Prestatie	serie 2: 2.48,7 (2e tijd) HF 2: 2.47,0 (3e tijd) finale: 2.47,6___serie 1: 1.07,9 (1e tijd) HF 1: 1.07,7 (3e tijd) finale: 1.08,4___serie 3: 1.19,3 (4e tijd) HF 1: 1.18,1 (4e tijd) finale: 1.18,9___serie 1: 3.04,4 (3e tijd) HF 1: 3.01,4 (2e tijd) finale: 3.06,2___serie 2: 4.31,3 OR (1e tijd) finale 4.31,6"	"serie 2: 4.31,3 OR (1e tijd) finale 4.31,6___serie 1: 3.04,4 (3e tijd) HF 1: 3.01,4 (2e tijd) finale: 3.06,2"	-17	0
http://es.wikipedia.org/wiki/Powerman_5000		Videoclip	1	T??tulo	""Organizized""___""When Worlds Collide""___""An Eye Is Upon You/Supernova Goes Pop""___""Bombshell""___""Free""___""Wild World""___""Super Villain"""	"An Eye Is Upon You/Supernova Goes Pop___""When Worlds Collide"""	-15	0
http://it.wikipedia.org/wiki/Croce_Fieschi		Amministrazione	3	Carica	Democrazia Cristiana___Lista civica di Centro-sinistra ""Rinnovamento per Crocefieschi""___Lista civica di Centro-sinistra ""Rinnovamento per Crocefieschi""___Lista civica di Centro-sinistra ""Rinnovamento per Crocefieschi""___Lista civica di Centro-destra ""Croxe 2009"""	"Democrazia Cristiana___Lista civica di Centro-destra ""Croxe 2009"""	-13	0
http://en.wikipedia.org/wiki/Veliki_brat_All_Stars		Nominations table	3	Day 20	Kalimero Miki___Miki Kalimero___Nominated___Miki Tijana___Sani Mira___Miki Tijana___Miki Tijana___Miki Tijana___Maca Miki Sani Tijana___Maca 14.8% Tijana 7.4% Miki 3.6% to evict	Maca 14.8% Tijana 7.4% Miki 3.6% to evict___Maca Miki Sani Tijana	-17	0
http://it.wikipedia.org/wiki/Football_Club_Differdange_03		Differdange nelle competizioni europee	6	Ritorno	1-4___3-1___0-5___6-1___0-4___0-7___0-1___14-0___0-5___3-0___3-0___2-0___0-1___3-0___2-0___0-3___3-2___2-1___3-3___1-0 (3-4) (dopo i calci di rigore)	1-0 (3-4) (dopo i calci di rigore)___3-3	-18	2
http://fi.wikipedia.org/wiki/Luettelo_Johnny_Bravon_jaksoista		Ensimm??inen tuotantokausi	2	Englanninkielinen nimi	The Sensitive Male / Bravo Dooby-Doo___Date with an Antelope / Did You See a Bull Run By Here? / Cookie Crisis___I Used To Be Funny / My Fair Dork / 'Twas The Night___Over The Hump! / Blarney Buddies / Johnny Bravo Meets Farrah Fawcett___Hip-Hop Flop! / Talk To Me Baby / Blanky Hanky Panky___Beach Blanket Bravo / The Day the Earth Didn't Move Around Very Much / The Aisle of Mixed-Up Toys___Substitute Teacher / A Wolf in Chick's Clothing / Intensive Care___Jumbo Johnny / The Perfect Gift / Bravo, James Bravo___Going Batty / Berry The Butler / Red Faced In The White House___The Man Who Cried ""Clown"" / Johnny Real Good / Little Talky Tabitha!___Johnny Bravo Meets Adam West! / Johnny Meets Donny Osmond / Under The Big Flop"	Beach Blanket Bravo / The Day the Earth Didn't Move Around Very Much / The Aisle of Mixed-Up Toys___Johnny Bravo Meets Adam West! / Johnny Meets Donny Osmond / Under The Big Flop	-14.65217391	0
http://en.wikipedia.org/wiki/Karachi_Airlines_Gymkhana_cricket_team_in_Bangladesh_in_1992%E2%80%9393		Scores in brief	0	Date	1 April___2 April___4 April___6 th April (Day-Night Match)	6 th April (Day-Night Match)___4 April	-13	2
http://en.wikipedia.org/wiki/Phil_Vassar_discography		Videography	1	Video	""American Child""___""This Is God""___""I'll Take That as a Yes (The Hot Tub Song)""___""Good Ole Days""___""Last Day of My Life""___""This Is My Life""___""Bobbi with an I""___""Let's Get Together""___""Don't Miss Your Life"""	"I'll Take That as a Yes (The Hot Tub Song)___""Last Day of My Life"""	-17	2
http://en.wikipedia.org/wiki/Naomi_Shind%C5%8D		Character Image songs	3	Anime information	Shizuru Fujino from My-HiME Drama CD___Cagalli Yula Athha image song from Gundam SEED Suit CD vol.2 ATHRUN x CAGALLI	Shizuru Fujino from My-HiME Drama CD___Cagalli Yula Athha image song from Gundam SEED Suit CD vol.2 ATHRUN x CAGALLI	-15.32608696	0
http://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Friday_Night_Lights		Writers Guild of America	2	Nominee(s)	Bridget Carpenter, Kerry Ehrin, Carter Harris, Elizabeth Heldens, David Hudgins, Jason Katims, Patrick Massett, Andy Miller, Aaron Rahsaan Thomas, John Zinman___Bridget Carpenter, Kerry Ehrin, Ron Fitzgerald, Brent Fletcher, Etan Frankel, Jason Gavin, Elizabeth Heldens, David Hudgins, Rolin Jones, Jason Katims, Patrick Massett, Derek Santos Olson, and John Zinman___Bridget Carpenter, Kerry Ehrin, Ron Fitzgerald, Etan Frankel, Monica Henderson, David Hudgins, Rolin Jones, Jason Katims, Patrick Massett, Derek Santos Olson, John Zinman___Bridget Carpenter, Kerry Ehrin, Ron Fitzgerald, Etan Frankel, Monica Henderson, David Hudgins, Rolin Jones, Jason Katims, Patrick Massett, Derek Santos Olson, John Zinman"	"Bridget Carpenter, Kerry Ehrin, Ron Fitzgerald, Brent Fletcher, Etan Frankel, Jason Gavin, Elizabeth Heldens, David Hudgins, Rolin Jones, Jason Katims, Patrick Massett, Derek Santos Olson, and John Zinman___Bridget Carpenter, Kerry Ehrin, Ron Fitzgerald, Etan Frankel, Monica Henderson, David Hudgins, Rolin Jones, Jason Katims, Patrick Massett, Derek Santos Olson, John Zinman"	-16	0
http://en.wikipedia.org/wiki/List_of_heads_of_state_of_South_Africa		President of South Africa (1994?€?)	5	Duration	9 years, 100 days___226 days___4 years, 154 days (as of 10 October 2013)"	"4 years, 154 days (as of 10 October 2013)___9 years, 100 days"	-13	2
http://pl.wikipedia.org/wiki/Halowe_Mistrzostwa_%C5%9Awiata_w_Lekkoatletyce_2008		Kobiety	1	z??oto	Olesia Zykina Rosja___Tamsyn Lewis Australia___Gelete Burka Etiopia___Meseret Defar Etiopia___LoLo Jones Stany Zjednoczone___Rosja Julia Guszczina Tatiana Lewina Natalia Nazarowa Olesia Zykina	Rosja Julia Guszczina Tatiana Lewina Natalia Nazarowa Olesia Zykina___LoLo Jones Stany Zjednoczone	-13	0
http://en.wikipedia.org/wiki/List_of_Reading_Rainbow_episodes		Episode list	3	Title	""Hip Cat""___""Regina's Big Mistake""___""Giving Thanks: A Native American Good Morning Message""___""The Carousel"""	"Giving Thanks: A Native American Good Morning Message___""Regina's Big Mistake"""	-13.32608696	0
http://en.wikipedia.org/wiki/Figure_skating_at_the_2012_Winter_Youth_Olympics		Medal summary	1	Gold	Elizaveta Tuktamysheva Russia (RUS)___Yu Xiaoyu / Jin Yang China (CHN)___Anna Yanovskaya / Sergey Mozgov Russia (RUS)___Shoma Uno (JPN) Jordan Bauth (USA) Eugenia Tkachenka / Yuri Gulitski (BLR)	Shoma Uno (JPN) Jordan Bauth (USA) Eugenia Tkachenka / Yuri Gulitski (BLR)___Anna Yanovskaya / Sergey Mozgov Russia (RUS)	-17.32608696	0
http://en.wikipedia.org/wiki/Charlize_Theron?oldid=0	Television	Filmography	3	Notes	1 episode___S9E11: Fit for an Evil Queen	1 episode___S9E11: Fit for an Evil Queen	-15	2
